Year,StateAbbr,StateDesc,CityName,AsthmaPct,PopulationCount,Lat,Lng,SmokingPct,Access,Obesity,PhysicalAct,CO2ndMax8hr,NO2Mean1hr,Ozone4thMax8hr,SO2Mean1hr,PM25WeightedMean24hr,PM10Mean24hr,DayswithAQI,GoodDays,ModerateDays,UnhealthyforSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,MaxAQI,90thPercentileAQI,MedianAQI,DaysCO,DaysNO2,DaysOzone,DaysSO2,DaysPM25,DaysPM10,RenterOccupiedPct,UnempRatePct,CashPublicAssistPct,SNAPPct,NoHealthInsCovPct,BelowPovLevelPct
2016,TX,Texas,Houston,8.8,2099451,29.7806691396,-95.3860033966,16.0,28.2,32.9,30.4,1.6,14.0,0.079,1.0,9.7,30.0,366,164,179,22,1,0,0,159,92,52,0,27,189,0,145,5,56.9,7.4,1.6,15.1,25.3,21.9
2016,TX,Texas,Irving,8.5,216290,32.8583808131,-96.9703058323,15.9,24.8,31.0,28.3,,,,,,,,,,,,,,,,,,,,,,,61.7,5.9,3.7,11.6,23.3,15
2016,TX,Texas,Killeen,9.5,127921,31.0757648143,-97.7285651299,19.4,21.0,37.4,29.3,,,0.066,,,,365,331,34,0,0,0,0,100,50,38,0,0,365,0,0,0,56.9,11.2,1.5,14.6,12.7,14.2
2016,TX,Texas,Laredo,8.6,236091,27.5482572475,-99.4867797312,16.9,41.0,41.4,39.5,1.6,,0.05,,,20.0,366,285,81,0,0,0,0,96,60,37,0,0,113,0,252,1,37.1,5.7,1.8,30.2,30,31.3
2016,TX,Texas,League City,8.1,83560,29.4872995808,-95.1089858945,14.3,13.7,30.2,20.5,,,,,,,,,,,,,,,,,,,,,,,27.7,4.1,0.3,3.9,8.6,5.3
2016,TX,Texas,Lewisville,8.5,95290,33.0451992429,-96.9829273031,16.8,19.6,32.4,23.9,,,,,,,,,,,,,,,,,,,,,,,55.7,4.9,1,8.9,19.5,10.8
2016,TX,Texas,Longview,9.7,80455,32.5192857856,-94.762197598,20.3,22.6,37.0,28.8,,4.0,0.065,1.0,,,366,333,33,0,0,0,0,100,50,37,0,1,359,6,0,0,47.7,6.7,1.7,16.4,20.9,18.6
2016,TX,Texas,Lubbock,9.1,229573,33.5666251178,-101.886335663,18.3,22.6,37.6,28.9,,,,,,,119,118,1,0,0,0,0,54,33,21,0,0,0,0,119,0,48.0,5.4,1.6,13.7,15.8,20.9
2016,TX,Texas,McAllen,7.7,129877,26.2186289942,-98.2451704536,13.8,34.4,31.6,28.2,,,0.052,,10.4,27.0,366,289,76,1,0,0,0,114,61,36,0,0,182,0,181,3,40.2,7.8,1.5,23.2,29.3,25.7
2016,TX,Texas,McKinney,8.3,131117,33.1988886952,-96.6677029773,14.3,15.8,28.7,22.1,,,,,,,,,,,,,,,,,,,,,,,31.7,3.5,0.7,3.2,11.8,6.9
2016,TX,Texas,Mesquite,9.5,139824,32.7641310166,-96.5927445114,18.8,24.6,34.1,29.3,,,,,,,,,,,,,,,,,,,,,,,43.0,6.7,1.9,15.3,22.5,15.8
